character,episode_number,episode_title,quote,season,tokening,emotions,polaridad,subjetividad,neg,neu,pos,compound
Ross,19,Ross And Monica`s Cousin,"(in his head) She`s your cousin. She`s your cousin! If she knew what was going on in your head she`d think you were sick! (She grabs some popcorn.) Or would she? Let`s back up a second. She was the one who suggested opening a bottle of wine. She was the one who turned down the lights. She was the one that wanted to rent Logan`s Run, the sexiest movie ever. (She grabs the blanket from behind him and looks at him.) Oh, I know that look. Forget it. I want it. She wants it. I`m going in.",7,head cousin cousin know go head think sick grab popcorn second suggest open bottle wine turn light want rent run sexy movie grab blanket look oh know look forget want want go,"[0.037142857142857144, 0.6114285714285714, 0.135, 0.675, 0.19, 0.0258]",0.037142857142857144,0.6114285714285714,0.135,0.675,0.19,0.0258
Monica,23,In Vegas,Okay!,5,okay,"[0.5, 0.5, 0.0, 0.0, 1.0, 0.2263]",0.5,0.5,0.0,0.0,1.0,0.2263
Phoebe,9,Phoebe`s Dad,"Yeah, um, in Albany, can I have the number of Frank Buffay... OK, um, in Ithica... alright, um, Saratoga... Oneonta. Alright, you know what, you shouldn`t call youself information. [hangs up]",2,yeah um albany number frank buffay ok um ithica alright um saratoga oneonta alright know youself information hang,"[0.5, 0.5, 0.0, 0.573, 0.427, 0.7717]",0.5,0.5,0.0,0.573,0.427,0.7717
Phoebe,6,The Halloween Party,"Oh, I almost don`t want to show this. (Hands it to him.) Just remember I`m a minute younger.",8,oh want hand remember minute young,"[0.1, 0.4, 0.0, 0.471, 0.529, 0.5423]",0.1,0.4,0.0,0.471,0.529,0.5423
Ross,10,The Huliday Armadillo,"Well, uh, do you have a Santa-outfit left?",7,uh santa outfit left,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,12,The Superbowl,"[to guys wering yellow isolation suits] So, are you guys in the movie, or are you just really paranoid.",2,guy were yellow isolation suit guy movie paranoid,"[0.0, 0.0, 0.439, 0.561, 0.0, -0.5719]",0.0,0.0,0.439,0.561,0.0,-0.5719
Ross,16,The Morning After,That`s what?!,3,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Rachel,23,In Barbados,"(to Ross, in a flattering tone) It was really... great!",9,ross flattering tone great,"[0.8, 0.75, 0.0, 0.238, 0.762, 0.7506]",0.8,0.75,0.0,0.238,0.762,0.7506
Chandler,7,Ross Moves In,"Not a lot of closet space, but he can just hang his stuff out the window in a bag!",5,lot closet space hang stuff window bag,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,18,The Lottery,"Uh, you`re not gonna win.",9,uh going to win,"[0.8, 0.4, 0.0, 0.441, 0.559, 0.5859]",0.8,0.4,0.0,0.441,0.559,0.5859
Monica,15,"That Could Have Been, Part I & II",What if I turn out the lights? (Runs to shut them off.),6,turn light run shut,"[0.4, 0.7, 0.0, 1.0, 0.0, 0.0]",0.4,0.7,0.0,1.0,0.0,0.0
Phoebe,23,Ross`s Thing,Okay. (watches him leave),3,okay watch leave,"[0.5, 0.5, 0.293, 0.244, 0.463, 0.1779]",0.5,0.5,0.293,0.244,0.463,0.1779
Monica,7,The Blackout,Oh my God! What were you doing in a library?,1,oh god library,"[0.0, 0.0, 0.0, 0.488, 0.512, 0.2732]",0.0,0.0,0.0,0.488,0.512,0.2732
Monica,20,The Baby Shower,I personally would be honored if she wanted to live with me.,8,personally honor want live,"[0.06818181818181818, 0.4, 0.0, 0.308, 0.692, 0.5423]",0.06818181818181818,0.4,0.0,0.308,0.692,0.5423
Chandler,8,The Thanksgiving Flashbacks,I called you fat?! I don`t even remember that!,5,call fat remember,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,4,The Metaphorical Tunnel,What?,3,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Monica,5,Phoebe`s Birthday Dinner,Yah.,9,yah,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,1,The Princess Leia Fantasy,I`m tellin` ya that girl totally winked at me.,3,tellin ya girl totally wink,"[0.0, 0.75, 0.0, 1.0, 0.0, 0.0]",0.0,0.75,0.0,1.0,0.0,0.0
Chandler,10,The Routine,"What, what are you laughing at?",6,laugh,"[0.3, 0.1, 0.0, 0.0, 1.0, 0.5574]",0.3,0.1,0.0,0.0,1.0,0.5574
Joey,21,The Bullies,That is so not my motto.,2,motto,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,3,The Cuffs,"Ohh, I`m such an idiot. I can`t believe I actually thought she could change.",4,ohh idiot believe actually think change,"[-0.4, 0.45, 0.398, 0.602, 0.0, -0.5106]",-0.4,0.45,0.398,0.602,0.0,-0.5106
Rachel,20,Rachel`s Big Kiss,Oh they are nice. We-we custom-make tuxedos for celebrities and then when they`re done with them they just send em back.,7,oh nice custom tuxedo celebrity send,"[0.6, 1.0, 0.0, 0.641, 0.359, 0.4215]",0.6,1.0,0.0,0.641,0.359,0.4215
Ross,25,At The Beach,You can see the moonlight bouncing off her head! What the hell were you thinking?!!,3,moonlight bounce head hell think,"[0.0, 0.0, 0.535, 0.465, 0.0, -0.6808]",0.0,0.0,0.535,0.465,0.0,-0.6808
Monica,1,The Princess Leia Fantasy,"Oh, they-they sent me home.",3,oh send home,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,20,The Ride Along,Yeah!,5,yeah,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.296]",0.0,0.0,0.0,0.0,1.0,0.296
Joey,6,The Halloween Party,"I would say, ""Woman, please!""",8,woman,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,11,Ross`s Step Forward,"Oh great, I live on the street.",8,oh great live street,"[0.4681818181818182, 0.625, 0.0, 0.423, 0.577, 0.6249]",0.4681818181818182,0.625,0.0,0.423,0.577,0.6249
Chandler,4,The Metaphorical Tunnel,"Well, wait there`s, there`s more. See the contact paper is to go into your brand new drawer. (gives her a drawer) See, the drawer actually goes in my dresser.",3,wait contact paper brand new drawer give drawer drawer actually go dresser,"[0.06818181818181818, 0.2772727272727273, 0.0, 1.0, 0.0, 0.0]",0.06818181818181818,0.2772727272727273,0.0,1.0,0.0,0.0
Monica,6,The Halloween Party,Yeah,8,yeah,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.296]",0.0,0.0,0.0,0.0,1.0,0.296
Monica,2,The Breast Milk,You had a salad.,2,salad,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,25,At The Beach,"(entering) Are you ah, Phoebe Abott?",3,enter ah phoebe abott,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,13,Joey Speaks French,Oh!,10,oh,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,17,The Memorial Service,It kills over one americans every year.,9,kill american year,"[0.0, 0.0, 0.701, 0.299, 0.0, -0.6908]",0.0,0.0,0.701,0.299,0.0,-0.6908
Joey,18,Rachel Smokes,"Hmm, soup. (Pause.) I mean, noodle soup. I mean soup!",5,hmm soup pause mean noodle soup mean soup,"[-0.3125, 0.6875, 0.0, 1.0, 0.0, 0.0]",-0.3125,0.6875,0.0,1.0,0.0,0.0
Rachel,18,Joey`s Award,All right? (He sets the award down.) Thank you.,7,right set award thank,"[0.2857142857142857, 0.5357142857142857, 0.0, 0.25, 0.75, 0.7184]",0.2857142857142857,0.5357142857142857,0.0,0.25,0.75,0.7184
Monica,1,The Princess Leia Fantasy,"God, look what I found in the drain.",3,god look find drain,"[0.0, 0.0, 0.0, 0.588, 0.412, 0.2732]",0.0,0.0,0.0,0.588,0.412,0.2732
Monica,16,Joey Tells Rachel,No!,8,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Rachel,17,Rachel`s Inadvertant Kiss,"Anyway, I`m going to be the coordinator of the woman`s collection, I`ll work right under the director, it`s the perfect, perfect job for me!",5,go coordinator collection work right director perfect perfect job,"[0.7619047619047619, 0.8452380952380952, 0.0, 0.486, 0.514, 0.8126]",0.7619047619047619,0.8452380952380952,0.0,0.486,0.514,0.8126
Joey,2,The Breast Milk,"Listen, I know you`re new, but it`s kinda understood that everything from Young Men`s to the escalator is my territory.",2,listen know new kinda understand young escalator territory,"[0.11818181818181818, 0.42727272727272725, 0.0, 1.0, 0.0, 0.0]",0.11818181818181818,0.42727272727272725,0.0,1.0,0.0,0.0
Monica,7,The Race Car Bed,When did I sign for it?,3,sign,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,14,The Prom Video,"Oh, oh my God, is this the wrong day? I don`t believe it, uh, well, hey, I guess if it works out we`ll, we`ll have something to tell the grandkids.",2,oh oh god wrong day believe uh hey guess work tell grandkid,"[-0.5, 0.9, 0.204, 0.658, 0.138, -0.25]",-0.5,0.9,0.204,0.658,0.138,-0.25
Chandler,8,The List,"Oh good, I was hoping that would come up.",2,oh good hope come,"[0.7, 0.6000000000000001, 0.0, 0.256, 0.744, 0.7003]",0.7,0.6000000000000001,0.0,0.256,0.744,0.7003
Chandler,2,The Red Sweater,I was in charge of the cameras! Gift shop?,8,charge camera gift shop,"[0.0, 0.0, 0.0, 0.508, 0.492, 0.4404]",0.0,0.0,0.0,0.508,0.492,0.4404
Rachel,13,Chandler Takes A Bath,We`re having a girl.,8,have girl,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,3,Ross`s Tan,It`s because I`m scrappy.,10,scrappy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,23,Chandler And Monica`s Wedding,Oh man! They-they just redid my make-up!,7,oh man redo,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,4,Phoebe`s Husband,"Great, people having sex, that`s just what I need to see.",2,great people have sex need,"[0.8, 0.75, 0.0, 0.494, 0.506, 0.6249]",0.8,0.75,0.0,0.494,0.506,0.6249
Rachel,10,The Monkey,I can`t kiss anyone.,1,kiss,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.4215]",0.0,0.0,0.0,0.0,1.0,0.4215
Joey,22,Chandler`s Dad,"Oh. (Laughs.) No! No wait, that`s weird!",7,oh laughs wait weird,"[-0.5, 1.0, 0.246, 0.29, 0.464, 0.3612]",-0.5,1.0,0.246,0.29,0.464,0.3612
Rachel,17,The Cheap Wedding Dress,(To Phoebe) So this is Brooklyn.,7,phoebe brooklyn,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,4,The Sharks,": he has to work, there`s some rush on the big (pause, thinks) ah damn it one of these days I`m really gonna have to start listening when he talks about his job.",9,work rush big pause think ah damn day going to start listen talk job,"[0.0, 0.1, 0.172, 0.828, 0.0, -0.4019]",0.0,0.1,0.172,0.828,0.0,-0.4019
Phoebe,11,Ross`s Step Forward,"It`s okay, he`s a virgin.",8,okay virgin,"[0.5, 0.5, 0.0, 0.345, 0.655, 0.2263]",0.5,0.5,0.0,0.345,0.655,0.2263
Ross,2,Ross Hugs Rachel,"Oh my God. Ohh, my little sister and my best friendshaking up. Oh, that`s great. That`s great. (Kisses and hugs her.)",6,oh god ohh little sister good friend shake oh great great kiss hug,"[0.528125, 0.65, 0.06, 0.176, 0.765, 0.9641]",0.528125,0.65,0.06,0.176,0.765,0.9641
Monica,13,Joey`s Bag,"(to the guys) Not the way they`re doing it. What, what happened? How did she die?",5,guy way happen die,"[0.0, 0.0, 0.565, 0.435, 0.0, -0.5994]",0.0,0.0,0.565,0.435,0.0,-0.5994
Joey,19,Joey`s Interview,"Oh, I do. (Gives her the Joey-love look.) How you doin?",8,oh give joey love look doin,"[0.5, 0.6, 0.0, 0.543, 0.457, 0.6369]",0.5,0.6,0.0,0.543,0.457,0.6369
Rachel,23,Rachel Has A Baby,Oh.,8,oh,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,21,The Ball,"Oh yeah, I got a cat.",5,oh yeah get cat,"[0.0, 0.0, 0.0, 0.577, 0.423, 0.296]",0.0,0.0,0.0,0.577,0.423,0.296
Joey,1,Vegas,I can fix it. Hold on. (He goes and gets a screwdriver from his apartment) Look out. Look out. (Pries at the door a little bit.),6,fix hold go get screwdriver apartment look look pry door little bit,"[-0.1875, 0.5, 0.0, 0.894, 0.106, 0.0772]",-0.1875,0.5,0.0,0.894,0.106,0.0772
Phoebe,21,The Ball,What?!,5,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Phoebe,6,On The Last Night,"Yeah, I think it was better when you guys were sad. Hey, uh, remember the roller blades?",6,yeah think well guy sad hey uh remember roller blade,"[-0.5, 1.0, 0.215, 0.486, 0.299, 0.0516]",-0.5,1.0,0.215,0.486,0.299,0.0516
Chandler,9,Underdog Gets Away,"Tonight, on a very special Blossom.",1,tonight special blossom,"[0.35714285714285715, 0.5714285714285714, 0.0, 0.426, 0.574, 0.4019]",0.35714285714285715,0.5714285714285714,0.0,0.426,0.574,0.4019
Chandler,21,The Chick And The Duck,Easy Lenny.,3,easy lenny,"[0.43333333333333335, 0.8333333333333334, 0.0, 0.256, 0.744, 0.4404]",0.43333333333333335,0.8333333333333334,0.0,0.256,0.744,0.4404
Chandler,7,Chandler Crosses The Line,What happened?,4,happen,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,24,The Ultimate Fighting Champion,"No. No, not at all, that`s-that`s ridiculous.",3,ridiculous,"[-0.3333333333333333, 1.0, 1.0, 0.0, 0.0, -0.3612]",-0.3333333333333333,1.0,1.0,0.0,0.0,-0.3612
Joey,11,All The Resulutions,Howdy partner!,5,howdy partner,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,7,Ross`s Library Book,"(still skeptical) Yeah, look how that worked out.",7,skeptical yeah look work,"[-0.5, 0.5, 0.354, 0.308, 0.338, -0.0258]",-0.5,0.5,0.354,0.308,0.338,-0.0258
Monica,22,The Ick Factor,What?,1,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Phoebe,15,The Birthing Video,"Yeah. Candy`s the mother, Cookie`s the daughter. The father`s also Cookie. Why am I friends with these people?",8,yeah mother daughter cookie friend people,"[0.0, 0.0, 0.0, 0.426, 0.574, 0.6597]",0.0,0.0,0.0,0.426,0.574,0.6597
Ross,23,The Ring,"Oh perfect, we were just gonna see if you wanted to go.",6,oh perfect going to want,"[1.0, 1.0, 0.0, 0.375, 0.625, 0.6124]",1.0,1.0,0.0,0.375,0.625,0.6124
Joey,7,Ross`s Library Book,(skeptical) What party?,7,skeptical party,"[-0.5, 0.5, 0.46, 0.0, 0.54, 0.1027]",-0.5,0.5,0.46,0.0,0.54,0.1027
Phoebe,17,The Cheap Wedding Dress,"Yeah, swing music is so out.",7,yeah swing music,"[0.0, 0.0, 0.0, 0.476, 0.524, 0.296]",0.0,0.0,0.0,0.476,0.524,0.296
Monica,17,The Tea Leaves,"Honey, both yours.",8,honey,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,18,Joey`s Award,"Come here! Come here! (They hug.) Sweetie you don`t have to worry. No, besides y`know what? I`m gonna have a lot of new things with you. The first time we buy a house. Our first kid. Our first grandkid",7,come come hug sweetie worry going to lot new thing time buy house kid grandkid,"[0.13636363636363635, 0.45454545454545453, 0.137, 0.566, 0.297, 0.5267]",0.13636363636363635,0.45454545454545453,0.137,0.566,0.297,0.5267
Phoebe,15,The Mugging,"Well, ok, I wasn`t rich like you guys, ok, I didn`t eat gold and have a flying pony I had a hard life, my mother was killed by a drug dealer",9,ok rich like guy ok eat gold fly pony hard life mother kill drug dealer,"[0.3766666666666666, 0.6383333333333333, 0.238, 0.352, 0.41, 0.5267]",0.3766666666666666,0.6383333333333333,0.238,0.352,0.41,0.5267
Chandler,2,Ross Is Fine,You know how to use a compass?,10,know use compass,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,5,Rachel`s Date,Would you say your pesto is the best-o?,8,pesto good o,"[0.7, 0.6000000000000001, 0.0, 0.256, 0.744, 0.4404]",0.7,0.6000000000000001,0.0,0.256,0.744,0.4404
Monica,4,Phoebe Hates PBS,"(Panicking) Okay, umm, okay, umm (Rachel opens the door.) It`s just Joey and Ross.",5,panic okay umm okay umm rachel open door joey ross,"[0.3333333333333333, 0.5, 0.234, 0.496, 0.27, -0.128]",0.3333333333333333,0.5,0.234,0.496,0.27,-0.128
Ross,16,Rachel`s Going Away Party,Hotel? Why isn`t she staying with you guys?,10,hotel stay guy,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,4,The Videotape,"Hey, hang up! You get food poisoning just talkin` to that place.",8,hey hang food poisoning talkin place,"[0.0, 0.0, 0.432, 0.568, 0.0, -0.5859]",0.0,0.0,0.432,0.568,0.0,-0.5859
Joey,16,Joey Tells Rachel,"Hey-hey-hey, hey! You can`t. Okay? Ever!",8,hey hey hey hey okay,"[0.5, 0.5, 0.0, 0.678, 0.322, 0.2263]",0.5,0.5,0.0,0.678,0.322,0.2263
Chandler,8,Nana Dies Twice,Dehydrated Japanese noodles under fluorescent lights... does it get better than this?,1,dehydrate japanese noodle fluorescent light well,"[0.2, 0.35, 0.0, 0.704, 0.296, 0.2732]",0.2,0.35,0.0,0.704,0.296,0.2732
Phoebe,22,The Ick Factor,All right. Bye bye.,1,right bye bye,"[0.2857142857142857, 0.5357142857142857, 0.0, 1.0, 0.0, 0.0]",0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0
Chandler,15,All The Rugby,Don`t worry about it. I`m taking care of it tonight. (Chandler opens the fridge and grabs something to drink.),4,worry take care tonight chandler open fridge grab drink,"[0.0, 0.5, 0.221, 0.534, 0.244, 0.0772]",0.0,0.5,0.221,0.534,0.244,0.0772
Phoebe,23,Ross`s Thing,(disgusted) Uh.,3,disgusted uh,"[-1.0, 1.0, 0.773, 0.227, 0.0, -0.5267]",-1.0,1.0,0.773,0.227,0.0,-0.5267
Ross,24,The Ultimate Fighting Champion,"Well, then that guy is in serious, serious trouble.",3,guy trouble,"[-0.2, 0.2, 0.73, 0.27, 0.0, -0.4019]",-0.2,0.2,0.73,0.27,0.0,-0.4019
Ross,15,The Girl Who Hits Joey,Ohh. (He cuts himself a piece of cake.),5,ohh cut piece cake,"[0.0, 0.0, 0.412, 0.588, 0.0, -0.2732]",0.0,0.0,0.412,0.588,0.0,-0.2732
Phoebe,3,The Jam,"Um, yeah, you want Ursula, and I`m Phoebe. Twin sisters! Seriously.",3,um yeah want ursula phoebe twin sister seriously,"[-0.3333333333333333, 0.6666666666666666, 0.167, 0.49, 0.343, 0.2023]",-0.3333333333333333,0.6666666666666666,0.167,0.49,0.343,0.2023
Rachel,19,Joey`s Interview,This is Chandler. (Points at him.),8,chandler point,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,13,Monica And Richard Are Just Friends,"Yeah well, I ran into Richard.",3,yeah run richard,"[0.0, 0.0, 0.0, 0.476, 0.524, 0.296]",0.0,0.0,0.0,0.476,0.524,0.296
Joey,23,In Vegas,That`s it! Thanks Pheebs!,5,thank pheebs,"[0.0, 0.0, 0.0, 0.286, 0.714, 0.3612]",0.0,0.0,0.0,0.286,0.714,0.3612
Ross,1,Joey and Rachel Kiss,"I`m sorry, I`m sorry. You were saying?",10,sorry sorry say,"[-0.5, 1.0, 0.722, 0.278, 0.0, -0.1531]",-0.5,1.0,0.722,0.278,0.0,-0.1531
Rachel,5,The Kips,That`s not Ross!,5,ross,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,20,The Soap Opera Party,Both of them?,9,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Monica,8,Chandler In A Box,Who cares? He works in a museum!,4,care work museum,"[0.0, 0.0, 0.0, 0.385, 0.615, 0.4939]",0.0,0.0,0.0,0.385,0.615,0.4939
Ross,23,The Chicken Pox,"You know, I might have expected this of you Phoebe, but Ryan, you`re a military man.",2,know expect phoebe ryan military man,"[-0.1, 0.1, 0.0, 1.0, 0.0, 0.0]",-0.1,0.1,0.0,1.0,0.0,0.0
Ross,6,The Male Nanny,Science...? Academia...? Being a good father...?,9,science academia good father,"[0.7, 0.6000000000000001, 0.0, 0.508, 0.492, 0.4404]",0.7,0.6000000000000001,0.0,0.508,0.492,0.4404
Chandler,8,The Late Thanksgiving,A little late for that.,10,little late,"[-0.24375, 0.55, 0.0, 1.0, 0.0, 0.0]",-0.24375,0.55,0.0,1.0,0.0,0.0
Phoebe,9,They`re Going To Party,I wa-I wa-I wa,4,wa wa wa,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,3,The Pediatrician,"Hey, I seem to remember someone bringing his security blanket to college!",9,hey remember bring security blanket college,"[0.0, 0.0, 0.0, 0.676, 0.324, 0.34]",0.0,0.0,0.0,0.676,0.324,0.34
Chandler,1,Joey and Rachel Kiss,This is what I want to do.,10,want,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0772]",0.0,0.0,0.0,0.0,1.0,0.0772
Joey,10,Russ,"No, no, no, it.. it`s too hard. It`s not worth it. I quit.",2,hard worth quit,"[0.004166666666666652, 0.3208333333333333, 0.326, 0.233, 0.442, 0.128]",0.004166666666666652,0.3208333333333333,0.326,0.233,0.442,0.128
Joey,10,Monica`s Boots,(to Dina) You were right. He is funny.,8,dina right funny,"[0.26785714285714285, 0.7678571428571428, 0.0, 0.408, 0.592, 0.4404]",0.26785714285714285,0.7678571428571428,0.0,0.408,0.592,0.4404
Ross,21,The Invitation,"When, when were you... under me?",4,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Monica,13,Monica And Richard Are Just Friends,"(still hiding under the blankets) Did you like her? And I`m just asking as a friend, because I am totally fine with this.",3,hide blanket like ask friend totally fine,"[0.4166666666666667, 0.5, 0.136, 0.24, 0.624, 0.7264]",0.4166666666666667,0.5,0.136,0.24,0.624,0.7264
Ross,11,The Stripper Cries,Cool! (They start kissing again and Chandler looks shocked),10,cool start kiss chandler look shocked,"[-0.175, 0.7250000000000001, 0.221, 0.288, 0.49, 0.4215]",-0.175,0.7250000000000001,0.221,0.288,0.49,0.4215
Rachel,14,They All Turn Thirty,"Look, y`know I know my life`s going pretty well, but I look around and I just see so many people who`ve accomplished so many other goals by the time they`re thirty.",7,look know go pretty look people accomplish goal time thirty,"[0.25, 1.0, 0.0, 0.571, 0.429, 0.7184]",0.25,1.0,0.0,0.571,0.429,0.7184
Monica,23,In Barbados,(nearly shouting) One thousand...,9,nearly shout thousand,"[0.1, 0.4, 0.0, 1.0, 0.0, 0.0]",0.1,0.4,0.0,1.0,0.0,0.0
Rachel,17,The Tea Leaves,What?,8,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Phoebe,23,Ross`s Thing,"I know, I know! I`m like playing the field. Y`know? Like, juggling two guys, I`m sowing my wild oats. Y`know? Y`know, this kind`ve like y`know oat-sowin`, field-playin` juggler.",3,know know like play field like juggle guy sow wild oat like oat sowin field playin juggler,"[0.1, 0.4, 0.0, 0.568, 0.432, 0.836]",0.1,0.4,0.0,0.568,0.432,0.836
Joey,3,Ross`s Tan,"Yeah, me too.",10,yeah,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.296]",0.0,0.0,0.0,0.0,1.0,0.296
Ross,3,Ross`s Denial,(grabs back his cookie) It was a hug!,6,grab cookie hug,"[0.0, 0.0, 0.0, 0.392, 0.608, 0.4767]",0.0,0.0,0.0,0.392,0.608,0.4767
Phoebe,21,Ross Meets Elizabeth`s Dad,I want to see what he wants first.,6,want want,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.1531]",0.0,0.0,0.0,0.0,1.0,0.1531
Joey,21,The Vows,I couldn`t even if I wanted too.,7,want,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0772]",0.0,0.0,0.0,0.0,1.0,0.0772
Chandler,19,Ross And Monica`s Cousin,I`ll be right with you.,7,right,"[0.2857142857142857, 0.5357142857142857, 0.0, 1.0, 0.0, 0.0]",0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0
Ross,9,The Football,"Oh-ho, okay.",3,oh ho okay,"[0.5, 0.5, 0.0, 0.513, 0.487, 0.2263]",0.5,0.5,0.0,0.513,0.487,0.2263
Chandler,8,Nana Dies Twice,"Hey, Lowell.",1,hey lowell,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,6,On The Last Night,"Whoa-whoa-whoa, Knicks season opener tonight. I thought maybe you guys would come over and watch it.",6,whoa whoa whoa knicks season opener tonight think maybe guy come watch,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,24,"The Proposal, Part I & II",I`m not gonna mess it up.,6,going to mess,"[-0.175, 0.175, 0.556, 0.444, 0.0, -0.3612]",-0.175,0.175,0.556,0.444,0.0,-0.3612
Ross,15,"That Could Have Been, Part I & II",Didn`t you spend last night at Joey`s?,6,spend night,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,15,The Birthing Video,"Hi! Hey, Happy Valentine`s Day!",8,hi hey happy day,"[0.8, 1.0, 0.0, 0.448, 0.552, 0.5719]",0.8,1.0,0.0,0.448,0.552,0.5719
Ross,19,The Monkey Gets Away,"Alright. (He goes to get the glasses. Then he hesitates and turns off the main light. Rachel looks round and he acts surprised) The, uh, the neighbours must be vacuuming. (He sits down and starts to pour the wine) Well, so long as we`re here and, uh, not on the subject, I was thinking about, uh, how mad we got at each other before, and, um, I was thinking maybe it was partially because of how we, um...",1,alright go glass hesitate turn main light rachel look round act surprised uh neighbour vacuum sit start pour wine long uh subject think uh mad get um think maybe partially um,"[-0.0537037037037037, 0.48518518518518516, 0.146, 0.746, 0.108, -0.34]",-0.0537037037037037,0.48518518518518516,0.146,0.746,0.108,-0.34
Ross,1,Monica Gets A Roommate,"No. No, I gotta go home sometime.",1,got to home,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,6,The Dirty Girl,"Um, and, well there`s the.. the the small matter of...",4,um small matter,"[-0.25, 0.4, 0.0, 0.645, 0.355, 0.0258]",-0.25,0.4,0.0,0.645,0.355,0.0258
